model, data, config_name, application_name, search, restart, round, rounds, limit_s, duration_s, obj, init_time_s, solve_time_s, solutions, variables, propagators, propagations, nodes, failures, restarts, peak_depth, num_solutions
"prepare_modded",     "prepare14", "config_searching_on_both", "application_1", "seq_search([int_search(s,input_order,indomain_min),int_search(b,dom_w_deg,indomain_min)])",  "restart_none",   2,  10,   100,   100, 1080,    0, 100.00,   18, 12001, 2891, 10403237,   104000,    51722,    0,  102,  1
"prepare_modded",     "prepare14", "config_searching_on_both", "application_1", "seq_search([int_search(s,input_order,indomain_min),int_search(b,dom_w_deg,indomain_min)])",  "restart_none",   3,  10,   100,   100, 1080,    0, 100.00,   18, 12001, 2891, 10612449,   106126,    52785,    0,  102,  1
"prepare_modded",     "prepare14", "config_searching_on_both", "application_1", "seq_search([int_search(s,input_order,indomain_min),int_search(b,dom_w_deg,indomain_min)])",  "restart_none",   4,  10,   100,   101, 1080,    0, 100.00,   18, 12001, 2891, 10333017,   103272,    51358,    0,  102,  1
"prepare_modded",     "prepare14", "config_searching_on_both", "application_1", "seq_search([int_search(s,input_order,indomain_min),int_search(b,dom_w_deg,indomain_min)])",  "restart_none",   5,  10,   100,   101, 1080,    0, 100.00,   18, 12001, 2891, 10416986,   104147,    51796,    0,  102,  1
"prepare_modded",     "prepare14", "config_searching_on_both", "application_1", "seq_search([int_search(s,input_order,indomain_min),int_search(b,dom_w_deg,indomain_min)])",  "restart_none",   6,  10,   100,   101, 1080,    0, 100.00,   18, 12001, 2891, 10278411,   102735,    51090,    0,  102,  1
"prepare_modded",     "prepare14", "config_searching_on_both", "application_1", "seq_search([int_search(s,input_order,indomain_min),int_search(b,dom_w_deg,indomain_min)])",  "restart_none",   7,  10,   100,   101, 1080,    0, 100.00,   18, 12001, 2891, 10282278,   102773,    51109,    0,  102,  1
"prepare_modded",     "prepare14", "config_searching_on_both", "application_1", "seq_search([int_search(s,input_order,indomain_min),int_search(b,dom_w_deg,indomain_min)])",  "restart_none",   8,  10,   100,   101, 1080,    0, 100.00,   18, 12001, 2891, 10463749,   104611,    52028,    0,  102,  1
"prepare_modded",     "prepare14", "config_searching_on_s", "application_1", "int_search(s, input_order, indomain_min)",  "restart_none",   1,   1,    30,    30, 1080,    0,  30.00,   18, 2451, 2891, 17334612,   174122,    86783,    0,  102,  1
"prepare_modded",     "prepare14", "config_searching_on_s", "application_2", "int_search(s, input_order, indomain_split)",  "restart_none",   1,   1,    30,    31, 1080,    0,  30.00,   18, 2451, 2891, 12002409,   186609,    91179,    0, 1230,  1
"prepare_modded",     "prepare14", "config_searching_on_s_randomly", "application_1", "int_search(s, input_order, indomain_random)", "restart_luby(100)",   1,  10,    30,    31, 4361,    0,  30.00, 1164, 2451, 2891, 23238878,   143340,    15208, 1167,  140,  1
"prepare_modded",     "prepare14", "config_searching_on_s_randomly", "application_1", "int_search(s, input_order, indomain_random)", "restart_luby(100)",   2,  10,    30,    31, 4336,    0,  30.00, 1187, 2451, 2891, 23685414,   146239,    15585, 1190,  140,  1
